"Gene Symbol","Expert Panel",Curator,"Disease Entity","Uploaded date","Precuration date","Disease entity assigned date","Precuration Complete date","Curation Provisional date","Curation Approved date","Recuration assigned date","Retired Assignment date","Published date",Classification,Created,"GCI UUID"
PTEN,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0017623,2018-11-14,,,,,,,,,,"2018-11-14 08:58:57",1fcd4927-5557-4d07-84ba-4a1cba6d13f6
RAD50,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0016419,2018-11-14,,,,2023-03-14,2023-03-14,,,2023-03-14,Refuted,"2018-11-14 08:58:57",0315e4de-97f5-4128-8074-f4d21e3d6fbc
RAD51C,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0016248,2018-11-14,,,,2023-12-21,2023-12-20,,,2023-12-21,Definitive,"2018-11-14 08:58:57",058a65d0-b7ba-4426-89f9-43ad335f1895
RAD51D,"Hereditary Cancer GCEP",,MONDO:0016248,2018-11-14,,,2023-07-28,2023-12-21,2023-12-20,,,2023-12-21,Definitive,"2018-11-14 08:58:57",59f6765f-1673-419c-8096-c0490d69a576
RECQL,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0016419,2018-11-14,,,,2023-03-13,2023-03-13,,,2023-03-13,Disputed,"2018-11-14 08:58:57",fe59370b-263d-477f-8a5a-7f3148b6c1bf
SLX4,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0016419,2018-11-14,2022-12-09,,,2023-12-21,2023-12-21,,,2023-12-21,Refuted,"2018-11-14 08:58:57",972b5d64-0584-4e58-aec8-487b41564971
STK11,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0008280,2018-11-14,,,,2023-12-20,2023-12-20,,,2023-12-20,Definitive,"2018-11-14 08:58:57",48f788db-a9ae-4fc0-b1b4-4c1aebdceb3e
APC,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0021057,2022-06-20,,,,2022-06-20,2022-06-20,,,2022-06-20,Definitive,"2018-11-14 09:13:50",787efab1-fed9-452f-93e9-39bd53702121
BLM,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0005575,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",737a1f8b-5821-45e9-8332-a40e0d67c370
BMPR1A,"Hereditary Cancer GCEP","Sheng-An Yang",,2018-11-14,,,,,2022-12-30,,,2022-12-30,,"2018-11-14 09:13:50",71fdcfc4-c184-4624-a178-621fc344fd27
CHEK2,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0016248,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",809ca4d2-9d59-4c78-a0a9-e29d99b6e843
ENG,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0017380,2018-11-14,,,,,2022-12-30,,,2022-12-30,,"2018-11-14 09:13:50",26526dcb-c229-4a3d-88ed-af150d0c6a1a
EPCAM,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0016419,2018-11-14,,,,2023-12-21,2023-12-21,,,2023-12-21,Refuted,"2018-11-14 09:13:50",37db891a-59a0-4420-9b69-02c3984375bf
GALNT12,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",
GREM1,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",
MLH3,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",
MSH2,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",
PALB2,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",
PMS1,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",
POLD1,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0100351,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",e014e1bb-4c44-40df-a12f-237ced899fc4
POLE,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0100287,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",baa12351-0dc1-4461-b170-32c156af360b
PTEN,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",
SMAD4,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0008278,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",6189bdf4-8751-4ac1-a7d8-b159d3dfb92f
BARD1,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0016248,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",3ea26352-724d-4026-ad67-22b176050225
BUB1,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0005575,,,,,2020-04-06,2023-12-20,,,2023-12-20,Moderate,"2018-11-14 09:13:50",bca1433e-ec2e-4ebc-b13d-221cd9f8c728
BUB3,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0018630,,,,,2020-04-06,,,2023-12-18,,Limited,"2018-11-14 09:13:50",deb5b89b-c433-4eb3-ba33-ba6ae2931459
CDKN1B,"Hereditary Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:50",
CTNNA1,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0100256,2018-11-14,,,,2023-07-06,2023-07-05,,,2023-07-06,Definitive,"2018-11-14 09:13:50",67b5a87a-c8e0-46c1-b9e4-ccede1596748
EPHX1,"Hereditary Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:51",
FAN1,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:51",
MSH3,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:51",
MSH3,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:51",
NTHL1,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:51",
PTPRJ,"Colon Cancer GCEP",,MONDO:0018630,,,,,,,,,2020-04-06,Limited,"2018-11-14 09:13:51",00087989-426c-4d42-846d-fbfdade9d9fa
RNF43,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:51",
FLCN,"Colon Cancer GCEP",,,2018-11-14,,,,,,,,,,"2018-11-14 09:13:51",
NHP2,"General GCEP",,MONDO:0015780,2020-04-06,,,,,,,,,Limited,"2018-11-14 09:39:49",022f0247-9632-4bd1-b209-e41bb29ba5a6
RAD51C,"Hereditary Cancer GCEP","Sheng-An Yang",MONDO:0013248,2018-11-14,,,,2023-12-21,2023-12-20,,,2023-12-21,Limited,"2018-11-14 09:39:49",7ae62719-760a-42af-9613-63728e776599
RPS10,"General GCEP",,MONDO:0013216,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
RPS24,"General GCEP",,MONDO:0012529,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
TSR2,"General GCEP",,MONDO:0010493,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
WRAP53,"General GCEP",,MONDO:0013520,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
SMAD3,"General GCEP",,MONDO:0013426,,,,2020-04-06,,,,,,,"2018-11-14 09:39:49",2e88ae0b-de6b-4851-9e31-76c5be1c5d88
DICER1,"General GCEP",,MONDO:0011014,2020-04-06,,,,,,,,,,"2018-11-14 09:39:49",0e207c09-b1f4-4fe2-a213-98d3a737c149
C1QB,"General GCEP",,MONDO:0013343,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
CD3E,"General GCEP",,MONDO:0015974,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
ARSD,"General GCEP",,MONDO:0019701,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
COL2A1,"General GCEP",,MONDO:0014701,2020-04-06,,,,,,,,,Moderate,"2018-11-14 09:39:49",c701185f-73ab-41c2-955b-193cdaee5945
FGFR3,"Skeletal GCEP",,MONDO:0007037,2020-04-06,,,,2023-09-28,2023-09-28,,,2023-09-28,Definitive,"2018-11-14 09:39:49",cd97538f-aeda-48f1-ba59-59feafc66752
LBR,"General GCEP",,MONDO:0018663,2018-11-14,,,,2023-12-05,2024-01-09,,,2024-01-09,Moderate,"2018-11-14 09:39:49",b847dc91-282b-4d1c-8241-827426c9038e
BAG3,"General GCEP",,MONDO:0013061,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
MYO9A,"General GCEP",,MONDO:0015225,2020-04-06,,,,,,,,,Limited,"2018-11-14 09:39:49",c50f3ab3-b385-490e-8073-33679730fea1
PSD3,"General GCEP",,MONDO:0008339,2020-04-06,,,,,,,,,,"2018-11-14 09:39:49",35c94782-b304-4cb1-aece-b2e21ca529aa
VPS8,"General GCEP",,MONDO:0015225,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
AGTR2,"General GCEP",,MONDO:0100148,2020-04-06,,,,2020-06-02,2020-06-02,,,2021-02-17,Disputed,"2018-11-14 09:39:49",e7e649f1-6ad8-4ce0-9224-d06981a534f1
ATF6,"Retina GCEP",,MONDO:0100447,2018-11-14,,,,2021-10-07,2021-10-07,,,2022-03-02,Definitive,"2018-11-14 09:39:49",74554bce-3add-44bf-a890-81e47f70e7d5
CHD1L,"General GCEP",,MONDO:0019719,2020-04-06,,,,,,,,,,"2018-11-14 09:39:49",16277f07-f5ae-44e1-b4bf-ce609f939572
HNRNPK,"General GCEP",,MONDO:0014700,2018-11-14,,,,,,,,,,"2018-11-14 09:39:49",
LAMB1,"General GCEP",,MONDO:0014077,2020-04-06,,,,,,,,,,"2018-11-14 09:39:49",128ffeec-c84b-4e01-9bea-0773930137b6
NGLY1,"General GCEP",,MONDO:0800044,2020-04-06,,,,2022-10-18,2022-10-18,,,2022-10-18,Definitive,"2018-11-14 09:39:49",ef86fc12-db7f-4f5b-bcc0-aa3b21908c4e
SMARCA1,"ID-Autism GCEP",,,2018-11-14,,,,2022-10-03,,2022-08-03,,,,"2018-11-14 09:39:49",
SKI,"Craniofacial Malformations GCEP",,MONDO:0008426,2020-04-06,2020-09-28,,2020-09-28,2020-10-29,2020-10-29,,,2021-02-24,Definitive,"2018-11-14 09:39:49",8f3a6be8-0ac4-4e4e-b673-dd696a0c227e
KDSR,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:54",
UBTF,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:54",
LIPT2,"UNC Biocuration Core","Courtney Thaxton",MONDO:0060562,,,,,2018-12-04,,,,,Limited,"2018-11-15 09:11:55",30d5487d-dfe4-403f-a406-2d29fcce6e74
TRAPPC12,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:55",
CDK10,"UNC Biocuration Core",,MONDO:0044324,2020-04-06,,,,,,,,,,"2018-11-15 09:11:55",d746d96c-39c5-4917-8b14-cd747bc926b8
TBC1D23,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:55",
CTU2,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:55",
PIGS,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:55",
SPECC1L,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:55",
CFAP251,"UNC Biocuration Core",,MONDO:0029147,2020-04-06,,,,,,,,,,"2018-11-15 09:11:55",11c5cace-3b20-4968-ae8c-73402cf54128
FSIP2,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:55",
HOXB13,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
ADAMTS3,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
MYF5,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
FDFT1,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
SIK3,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
ARL3,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
CHST11,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
NUP85,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
NUP133,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:56",
NUP160,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:57",
NUP37,"UNC Biocuration Core",,,2018-11-15,,,,,,,,,,"2018-11-15 09:11:57",
GRAP,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0019497,2018-11-16,,,,2019-01-10,,,,,,"2018-11-16 09:47:14",e38c7499-0008-49da-8063-8ecac9655e26
TOGARAM2,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:14",
USH1G,"Hearing Loss GCEP",,MONDO:0019497,,,,,,,,,2020-04-06,Disputed,"2018-11-16 09:47:15",6c6a3458-87dc-42a5-a5f0-3904cd0b90b7
ADGRV1,"Hearing Loss GCEP",,MONDO:0019497,,,,,,2019-03-19,,,2020-04-06,Disputed,"2018-11-16 09:47:15",f5604ff2-fcd0-4994-820c-8ff0c5a7b04f
CIB2,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0010168,,,,,2019-01-11,,,,2020-04-06,Refuted,"2018-11-16 09:47:15",50b1c40f-c0ed-4774-8ba3-65d54107fddd
FGF3,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0012541,,,,,2019-01-11,,,,2020-04-06,Definitive,"2018-11-16 09:47:15",d028a7d6-2d7a-4f23-9c36-407edab66e53
COL4A5,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0018965,,,,,2019-01-18,,,,2020-04-06,Definitive,"2018-11-16 09:47:15",7d74db82-c8bf-41df-8ea6-8b3a4d0ca29c
COL4A3,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:15",
COL4A4,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:15",
COL9A2,"Hearing Loss GCEP","Andrew Grant",MONDO:0019354,,,,,2019-01-09,,,,2020-04-06,Limited,"2018-11-16 09:47:15",09a0a131-deb5-4ba5-8488-88fd3ed39e99
GATA3,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0007797,,,,,2019-01-28,,,,2020-04-06,Definitive,"2018-11-16 09:47:15",ec253f09-fa43-4cb4-a03b-c1e21d32d58a
ALMS1,"Hearing Loss GCEP",,MONDO:0008763,2018-11-16,,,,,,,,,,"2018-11-16 09:47:16",
COL2A1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:16",
COL9A1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:16",
COL9A3,"Hearing Loss GCEP","Emma Wilcox",MONDO:0019354,,,,,,,,,2019-09-17,Moderate,"2018-11-16 09:47:16",2096dcda-c5b9-4409-955d-07bec43ab666
COL11A1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:16",
NLRP3,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0008633,,,,2018-05-31,,,,,,Definitive,"2018-11-16 09:47:16",e2927f36-1480-40f1-b2f1-d563940712dc
NDP,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:16",
TCOF1,"Hearing Loss GCEP","Mayher Patel",MONDO:0002457,,,,,,2019-09-17,,,,Definitive,"2018-11-16 09:47:16",278263f1-66d8-482a-a7e4-f33fb24288f3
ANKH,"Hearing Loss GCEP","Madeline Hughes",MONDO:0015465,2018-11-15,,,2018-11-15,,,,2021-12-10,,,"2018-11-16 09:47:16",61d60386-0581-4c72-abc3-05b285414795
CDKN1C,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:16",
DLX5,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
FGFR3,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
POLR1C,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
POLR1D,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
SEMA3E,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
SLC19A2,"Hearing Loss GCEP",,MONDO:0009575,,,,,2019-11-20,,,,,Definitive,"2018-11-16 09:47:17",b9ac0d79-d56a-4b6d-972b-a420e933c0b0
BTD,"Hearing Loss GCEP","Madeline Hughes",MONDO:0009665,,,,,2020-02-10,2020-02-10,,,2020-07-31,Definitive,"2018-11-16 09:47:17",2b37579c-49cc-4267-95d5-50c6470d6c5d
CD151,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
CHSY1,"General Inborn Errors of Metabolism GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
HOXB1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
MASP1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:17",
RPS6KA3,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:18",
SALL4,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:18",
SLC4A11,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:18",
SLC29A3,"Lysosomal Disease GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:18",
TFAP2A,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:18",
ACTB,"Hearing Loss GCEP",,,,,,,,,,2020-02-27,,,"2018-11-16 09:47:18",
ATP6V1B2,"Hearing Loss GCEP",,MONDO:0007420,,,,2020-04-06,,,,,,Moderate,"2018-11-16 09:47:18",f8cd38f5-3d15-4b93-8054-ae0829597cd8
ERCC2,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
ERCC3,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
FOXC1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
JAG1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,2021-03-30,,,"2018-11-16 09:47:19",
LHX3,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
PITX2,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
PMP22,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
SALL1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
SLC12A1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
SLC52A3,"Hearing Loss GCEP","Andrew Grant",MONDO:0024537,,,,,2023-09-04,2023-09-04,,,2023-10-10,Definitive,"2018-11-16 09:47:19",c49974fc-b5c8-4eaa-866d-f0d9f684757e
SPINK5,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:19",
SUCLA2,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:20",
TBL1X,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:20",
ATP6V0A4,"Hearing Loss GCEP",,MONDO:0018440,,,,2020-04-06,2018-08-16,,,2021-12-10,,Definitive,"2018-11-16 09:47:20",be7ddc75-cb91-4f59-84d3-e59646d80a7a
BCAP31,"ID-Autism GCEP",,MONDO:0010334,2018-11-16,2023-07-19,,,2023-08-02,2023-08-02,,,2023-09-25,Strong,"2018-11-16 09:47:20",d08c01bf-aaee-4ab9-ad83-34b3035c3820
TWNK,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:20",
CDKN2D,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:20",
CRYL1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:20",
DTD1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:20",
ECE1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:20",
EDNRA,"Hearing Loss GCEP",,MONDO:0014608,,,,2020-04-06,2018-08-13,,,,,Strong,"2018-11-16 09:47:20",f55e32f7-3400-45d4-8817-40c700a6f9c3
EFNB2,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:20",
ESRP1,"Hearing Loss GCEP",,MONDO:0019497,,,,,2018-08-15,,,,,Limited,"2018-11-16 09:47:21",2b305513-d1ef-4159-b3c9-f22190bae8bb
GJA1,"Hearing Loss GCEP",,,,,,,,,,2020-02-27,,,"2018-11-16 09:47:21",
KCNK16,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:21",
LOXL3,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:21",
LRP2,"Hearing Loss GCEP","Madeline Hughes",MONDO:0009104,2018-09-24,,,,2018-09-24,,,,,,"2018-11-16 09:47:21",3c4f47c2-7745-4acb-a302-9e5da4f66b16
MIR183,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:21",
MPZL2,"Hearing Loss GCEP",,MONDO:0019497,,,,2020-04-06,2021-03-26,2021-03-26,,,2021-03-29,Strong,"2018-11-16 09:47:21",929ec4cd-195f-408e-927e-a9187b672323
NR2F1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:21",
OPA1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:21",
OTOR,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:21",
POLD1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
PRKCB,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
RPGR,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
RUNX2,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
SCN7A,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
SDHD,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
SERAC1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
SLC22A1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
SLC33A1,"General Inborn Errors of Metabolism GCEP","Josh Brandon Lowry",,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
SLC52A1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:22",
SMAD4,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
SOST,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
SOX9,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
STXBP2,"Primary Immune Regulatory Disorders","Justyne Ross",MONDO:0013135,2018-11-16,,,,2023-09-08,2023-09-19,,,2023-09-19,Definitive,"2018-11-16 09:47:23",02212618-0725-43db-9a4c-7929faeb878a
TBX4,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
TCIRG1,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
TECTB,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
TFCP2,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
TLR2,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
TLR4,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
TLR5,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
TNFRSF11A,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
TYMP,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
UBR1,"Hearing Loss GCEP",,MONDO:0009479,,,,2020-04-06,2018-08-09,,,,,Definitive,"2018-11-16 09:47:23",248ea896-ea65-4798-a4ab-db200eee26f2
VCAN,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
VDR,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:23",
WBP2,"Hearing Loss GCEP","Madeline Hughes",MONDO:0019497,,,,,,2018-12-09,,,2020-04-06,Limited,"2018-11-16 09:47:23",0c868c2b-8ec9-4e68-ba5d-1c7c7148b9cd
XPA,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:24",
XPC,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:24",
ZBTB20,"ID-Autism GCEP",,MONDO:0009798,2018-11-16,2023-03-21,,,,2023-04-18,,,,,"2018-11-16 09:47:24",72af705a-9b67-4047-956a-a41143a1363b
ZNF469,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:24",
SIK3,"Hearing Loss GCEP",,,2018-11-16,,,,,,,,,,"2018-11-16 09:47:24",
ZNF292,"ID-Autism GCEP","Courtney Thaxton",MONDO:0100038,2018-12-14,,,2018-12-19,2020-05-06,2020-05-06,2020-05-06,,2020-05-21,Definitive,"2018-12-14 13:02:11",8b99890e-ab6c-4d35-98cd-da7a3553a517
PLAA,"UNC Biocuration Core","Courtney Thaxton",MONDO:0060502,2018-12-20,,,,2020-04-06,,,,,Strong,"2018-12-20 12:57:17",ed091980-d2c9-488a-8d92-712d5cdf169a
ACTG1,"Hearing Loss GCEP","Rebecca Siegert",MONDO:0019497,2019-01-09,,,,,,,,2020-04-06,Definitive,"2019-01-09 12:00:57",53f6bfa8-e315-45df-a5cd-c1b2c056564a
GAMT,"Aminoacidopathy GCEP",,MONDO:0012999,2019-01-11,,,,2020-05-22,2019-01-25,,,2020-05-22,Definitive,"2019-01-11 13:50:16",5678d8d5-f019-493f-8fc1-72767f42abbd
GATM,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0012996,2019-01-11,,,,2020-05-22,2019-03-08,,,2020-05-22,Definitive,"2019-01-11 13:51:35",19e0c046-9e92-4dd7-80bc-c0335da66f9b
SLC6A8,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0010305,2019-01-11,,,,2020-05-22,2020-02-28,,,2020-05-22,Definitive,"2019-01-11 13:52:54",fd256c81-7ba2-486a-8a2e-6148d0844b50
PCCA,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0011628,2019-01-11,,,,2020-05-22,2019-01-10,,,2020-05-22,Definitive,"2019-01-11 14:42:22",8fe3ff11-3958-4694-8aa1-9fa5008cb892
PCCB,"Aminoacidopathy GCEP","Jenny Goldstein",MONDO:0011628,2019-01-11,,,,2020-05-22,2019-01-10,,,2020-05-22,Definitive,"2019-01-11 14:44:06",0a4c0d13-4c6c-4049-925a-6f55491643d7
